[2025-05-15 10:54:07] User ID: 1, IP: ::1, Event: enter_fullscreen, Action: clear_clipboard
[2025-05-15 10:54:13] User ID: 1, IP: ::1, Event: page_load, Action: clear_clipboard
[2025-05-15 10:54:14] User ID: 1, IP: ::1, Event: enter_fullscreen, Action: clear_clipboard
[2025-05-15 10:56:05] User ID: 1, IP: ::1, Event: page_load, Action: clear_clipboard
[2025-05-15 10:56:07] User ID: 1, IP: ::1, Event: enter_fullscreen, Action: clear_clipboard
[2025-05-15 10:56:57] User ID: 1, IP: ::1, Event: page_load, Action: clear_clipboard
[2025-05-15 11:03:08] User ID: 8, IP: ::1, Event: page_load, Action: clear_clipboard
[2025-05-15 11:03:10] User ID: 8, IP: ::1, Event: enter_fullscreen, Action: clear_clipboard
[2025-05-15 11:18:09] User ID: 1, IP: ::1, Event: page_load, Action: clear_clipboard
[2025-05-15 11:18:10] User ID: 1, IP: ::1, Event: enter_fullscreen, Action: clear_clipboard
[2025-05-15 11:18:32] User ID: 1, IP: ::1, Event: page_load, Action: clear_clipboard
[2025-05-15 11:18:33] User ID: 1, IP: ::1, Event: enter_fullscreen, Action: clear_clipboard
[2025-05-15 11:28:12] User ID: 1, IP: ::1, Event: page_load, Action: clear_clipboard
[2025-05-15 11:28:17] User ID: 1, IP: ::1, Event: enter_fullscreen, Action: clear_clipboard
[2025-05-15 11:30:27] User ID: 1, IP: ::1, Event: clipboard_check_detected_code, Action: clear_clipboard
[2025-05-15 11:30:32] User ID: 1, IP: ::1, Event: clipboard_check_detected_code, Action: clear_clipboard
[2025-05-15 11:30:43] User ID: 1, IP: ::1, Event: enter_fullscreen, Action: clear_clipboard
[2025-05-15 11:32:45] User ID: 1, IP: ::1, Event: enter_fullscreen, Action: clear_clipboard
[2025-05-15 12:08:38] User ID: 1, IP: ::1, Event: enter_fullscreen, Action: clear_clipboard
[2025-05-15 12:12:42] User ID: 1, IP: ::1, Event: page_load, Action: clear_clipboard
[2025-05-15 12:12:44] User ID: 1, IP: ::1, Event: enter_fullscreen, Action: clear_clipboard
[2025-05-15 12:14:07] User ID: 1, IP: ::1, Event: page_load, Action: clear_clipboard
[2025-05-16 08:02:06] User ID: 1, IP: ::1, Event: page_load, Action: clear_clipboard
[2025-05-16 08:03:07] User ID: 1, IP: ::1, Event: page_load, Action: clear_clipboard
[2025-05-16 08:08:41] User ID: 1, IP: ::1, Event: page_load, Action: clear_clipboard
[2025-05-16 08:08:43] User ID: 1, IP: ::1, Event: enter_fullscreen, Action: clear_clipboard
[2025-05-16 08:13:39] User ID: 1, IP: ::1, Event: page_load, Action: clear_clipboard
[2025-05-16 08:13:41] User ID: 1, IP: ::1, Event: enter_fullscreen, Action: clear_clipboard
[2025-05-16 08:14:09] User ID: 1, IP: ::1, Event: page_load, Action: clear_clipboard
[2025-05-16 08:14:10] User ID: 1, IP: ::1, Event: enter_fullscreen, Action: clear_clipboard
[2025-05-16 08:15:16] User ID: 1, IP: ::1, Event: enter_fullscreen, Action: clear_clipboard
[2025-05-16 08:15:22] User ID: 1, IP: ::1, Event: clipboard_check_detected_code, Action: clear_clipboard
[2025-05-16 08:15:45] User ID: 1, IP: ::1, Event: enter_fullscreen, Action: clear_clipboard
[2025-05-16 08:17:27] User ID: 1, IP: ::1, Event: enter_fullscreen, Action: clear_clipboard
[2025-05-16 08:17:34] User ID: 1, IP: ::1, Event: page_load, Action: clear_clipboard
[2025-05-16 08:17:35] User ID: 1, IP: ::1, Event: enter_fullscreen, Action: clear_clipboard
[2025-05-16 08:17:45] User ID: 1, IP: ::1, Event: window_focus, Action: clear_clipboard
[2025-05-16 08:17:51] User ID: 1, IP: ::1, Event: page_load, Action: clear_clipboard
[2025-05-16 08:17:53] User ID: 1, IP: ::1, Event: enter_fullscreen, Action: clear_clipboard
[2025-05-16 08:18:33] User ID: 1, IP: ::1, Event: enter_fullscreen, Action: clear_clipboard
[2025-05-16 08:19:57] User ID: 1, IP: ::1, Event: enter_fullscreen, Action: clear_clipboard
[2025-05-16 08:20:02] User ID: 1, IP: ::1, Event: enter_fullscreen, Action: clear_clipboard
[2025-05-16 08:20:16] User ID: 1, IP: ::1, Event: page_load, Action: clear_clipboard
[2025-05-16 08:20:17] User ID: 1, IP: ::1, Event: enter_fullscreen, Action: clear_clipboard
[2025-05-16 08:28:46] User ID: 1, IP: ::1, Event: page_load, Action: clear_clipboard
[2025-05-16 08:28:47] User ID: 1, IP: ::1, Event: enter_fullscreen, Action: clear_clipboard
